displayName,salary,position
Nikola Jokic,12500,C
Nikola Jokic,12500,C
Luka Doncic,11500,PG
Luka Doncic,11500,PG
Luka Doncic,11500,PG
Victor Wembanyama,10000,C
Victor Wembanyama,10000,C
James Harden,9900,PG
James Harden,9900,PG
James Harden,9900,PG
Tyrese Maxey,9800,PG
Tyrese Maxey,9800,PG
Tyrese Maxey,9800,PG
Jamal Murray,9700,PG
Jamal Murray,9700,PG
Jamal Murray,9700,PG
Alperen Sengun,9600,PF/C
Alperen Sengun,9600,PF/C
Alperen Sengun,9600,PF/C
Alperen Sengun,9600,PF/C
Kawhi Leonard,9500,SF
Kawhi Leonard,9500,SF
Kawhi Leonard,9500,SF
Scottie Barnes,9400,PF
Scottie Barnes,9400,PF
Scottie Barnes,9400,PF
Joel Embiid,9300,C
Joel Embiid,9300,C
Anthony Edwards,9200,SG
Anthony Edwards,9200,SG
Anthony Edwards,9200,SG
Kevin Durant,9100,SG/SF
Kevin Durant,9100,SG/SF
Kevin Durant,9100,SG/SF
Kevin Durant,9100,SG/SF
Kevin Durant,9100,SG/SF
LeBron James,9000,PF
LeBron James,9000,PF
LeBron James,9000,PF
Lauri Markkanen,8900,PF
Lauri Markkanen,8900,PF
Lauri Markkanen,8900,PF
Stephen Curry,8800,PG
Stephen Curry,8800,PG
Stephen Curry,8800,PG
Devin Booker,8700,PG/SG
Devin Booker,8700,PG/SG
Devin Booker,8700,PG/SG
Devin Booker,8700,PG/SG
Amen Thompson,8600,PG
Amen Thompson,8600,PG
Amen Thompson,8600,PG
Josh Giddey,8500,PG
Josh Giddey,8500,PG
Josh Giddey,8500,PG
Austin Reaves,8400,SG
Austin Reaves,8400,SG
Austin Reaves,8400,SG
Domantas Sabonis,8300,C
Domantas Sabonis,8300,C
Julius Randle,8200,PF
Julius Randle,8200,PF
Julius Randle,8200,PF
Keyonte George,8100,PG
Keyonte George,8100,PG
Keyonte George,8100,PG
Nikola Vucevic,8000,C
Nikola Vucevic,8000,C
Brandon Ingram,7900,SG
Brandon Ingram,7900,SG
Brandon Ingram,7900,SG
Jimmy Butler,7800,SF/PF
Jimmy Butler,7800,SF/PF
Jimmy Butler,7800,SF/PF
Jimmy Butler,7800,SF/PF
Russell Westbrook,7700,PG
Russell Westbrook,7700,PG
Russell Westbrook,7700,PG
Peyton Watson,7600,SF/PF
Peyton Watson,7600,SF/PF
Peyton Watson,7600,SF/PF
Peyton Watson,7600,SF/PF
DeMar DeRozan,7500,SF/PF
DeMar DeRozan,7500,SF/PF
DeMar DeRozan,7500,SF/PF
DeMar DeRozan,7500,SF/PF
Bam Adebayo,7500,C
Bam Adebayo,7500,C
De'Aaron Fox,7400,PG
De'Aaron Fox,7400,PG
De'Aaron Fox,7400,PG
Jusuf Nurkic,7400,C
Jusuf Nurkic,7400,C
Jalen Green,7300,SG
Jalen Green,7300,SG
Jalen Green,7300,SG
VJ Edgecombe,7200,SG
VJ Edgecombe,7200,SG
VJ Edgecombe,7200,SG
Tyler Herro,7100,PG/SG
Tyler Herro,7100,PG/SG
Tyler Herro,7100,PG/SG
Tyler Herro,7100,PG/SG
Norman Powell,7000,SG/SF
Norman Powell,7000,SG/SF
Norman Powell,7000,SG/SF
Norman Powell,7000,SG/SF
Norman Powell,7000,SG/SF
Ivica Zubac,7000,C
Ivica Zubac,7000,C
Immanuel Quickley,6900,PG
Immanuel Quickley,6900,PG
Immanuel Quickley,6900,PG
Stephon Castle,6900,SG
Stephon Castle,6900,SG
Stephon Castle,6900,SG
Paul George,6800,SF/PF
Paul George,6800,SF/PF
Paul George,6800,SF/PF
Paul George,6800,SF/PF
Coby White,6800,SG
Coby White,6800,SG
Coby White,6800,SG
Donte DiVincenzo,6700,PG
Donte DiVincenzo,6700,PG
Donte DiVincenzo,6700,PG
Aaron Gordon,6700,PF/C
Aaron Gordon,6700,PF/C
Aaron Gordon,6700,PF/C
Aaron Gordon,6700,PF/C
Rudy Gobert,6600,C
Rudy Gobert,6600,C
Zach LaVine,6600,SG
Zach LaVine,6600,SG
Zach LaVine,6600,SG
RJ Barrett,6600,SF
RJ Barrett,6600,SF
RJ Barrett,6600,SF
Jabari Smith Jr.,6500,PF
Jabari Smith Jr.,6500,PF
Jabari Smith Jr.,6500,PF
Naz Reid,6500,PF/C
Naz Reid,6500,PF/C
Naz Reid,6500,PF/C
Naz Reid,6500,PF/C
Tari Eason,6400,SF/PF
Tari Eason,6400,SF/PF
Tari Eason,6400,SF/PF
Tari Eason,6400,SF/PF
Kyle Filipowski,6400,PF/C
Kyle Filipowski,6400,PF/C
Kyle Filipowski,6400,PF/C
Kyle Filipowski,6400,PF/C
Dillon Brooks,6300,PF
Dillon Brooks,6300,PF
Dillon Brooks,6300,PF
Jalen Smith,6300,PF/C
Jalen Smith,6300,PF/C
Jalen Smith,6300,PF/C
Jalen Smith,6300,PF/C
Jaden McDaniels,6200,SF
Jaden McDaniels,6200,SF
Jaden McDaniels,6200,SF
Deandre Ayton,6200,C
Deandre Ayton,6200,C
Matas Buzelis,6100,PF
Matas Buzelis,6100,PF
Matas Buzelis,6100,PF
Jonas Valanciunas,6100,C
Jonas Valanciunas,6100,C
Collin Gillespie,6000,PG/SG
Collin Gillespie,6000,PG/SG
Collin Gillespie,6000,PG/SG
Collin Gillespie,6000,PG/SG
John Collins,6000,PF/C
John Collins,6000,PF/C
John Collins,6000,PF/C
John Collins,6000,PF/C
Collin Murray-Boyles,6000,PF/C
Collin Murray-Boyles,6000,PF/C
Collin Murray-Boyles,6000,PF/C
Collin Murray-Boyles,6000,PF/C
Brice Sensabaugh,5900,SG/SF
Brice Sensabaugh,5900,SG/SF
Brice Sensabaugh,5900,SG/SF
Brice Sensabaugh,5900,SG/SF
Brice Sensabaugh,5900,SG/SF
Keegan Murray,5900,PF
Keegan Murray,5900,PF
Keegan Murray,5900,PF
Draymond Green,5800,PF/C
Draymond Green,5800,PF/C
Draymond Green,5800,PF/C
Draymond Green,5800,PF/C
Cameron Johnson,5800,SG
Cameron Johnson,5800,SG
Cameron Johnson,5800,SG
Ayo Dosunmu,5700,PG/SG
Ayo Dosunmu,5700,PG/SG
Ayo Dosunmu,5700,PG/SG
Ayo Dosunmu,5700,PG/SG
Andrew Wiggins,5700,PF
Andrew Wiggins,5700,PF
Andrew Wiggins,5700,PF
Tre Jones,5600,PG
Tre Jones,5600,PG
Tre Jones,5600,PG
Devin Vassell,5600,SF
Devin Vassell,5600,SF
Devin Vassell,5600,SF
Mark Williams,5500,C
Mark Williams,5500,C
Jaime Jaquez Jr.,5500,SG/SF
Jaime Jaquez Jr.,5500,SG/SF
Jaime Jaquez Jr.,5500,SG/SF
Jaime Jaquez Jr.,5500,SG/SF
Jaime Jaquez Jr.,5500,SG/SF
Jalen Pickett,5500,PG/SG
Jalen Pickett,5500,PG/SG
Jalen Pickett,5500,PG/SG
Jalen Pickett,5500,PG/SG
Julian Champagnie,5400,SG/SF
Julian Champagnie,5400,SG/SF
Julian Champagnie,5400,SG/SF
Julian Champagnie,5400,SG/SF
Julian Champagnie,5400,SG/SF
