SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22024,1610612743,DEN,Denver Nuggets,Cut,Offensive,0.931,82,0.1,1.38,0.71,0.149,0.048,0.144,0.039,0.702,0.71,933,1288,557,785,228
22024,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.31,82,0.101,1.271,0.638,0.16,0.052,0.158,0.044,0.634,0.638,938,1192,498,780,282
22024,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,1.0,82,0.08,1.427,0.734,0.145,0.05,0.141,0.036,0.717,0.734,743,1060,459,625,166
22024,1610612737,ATL,Atlanta Hawks,Cut,Offensive,0.379,82,0.086,1.276,0.658,0.131,0.049,0.127,0.032,0.646,0.658,819,1045,459,698,239
22024,1610612761,TOR,Toronto Raptors,Cut,Offensive,0.034,82,0.093,1.166,0.592,0.134,0.065,0.131,0.029,0.591,0.592,875,1020,430,726,296
22024,1610612760,OKC,Oklahoma City Thunder,Cut,Offensive,0.759,82,0.077,1.34,0.671,0.14,0.047,0.139,0.034,0.671,0.671,706,946,401,598,197
22024,1610612753,ORL,Orlando Magic,Cut,Offensive,0.517,82,0.077,1.305,0.662,0.168,0.061,0.165,0.049,0.659,0.662,689,899,374,565,191
22024,1610612752,NYK,New York Knicks,Cut,Offensive,0.414,82,0.076,1.293,0.671,0.095,0.054,0.095,0.023,0.65,0.671,682,882,400,596,196
22024,1610612742,DAL,Dallas Mavericks,Cut,Offensive,0.793,82,0.071,1.347,0.71,0.166,0.062,0.16,0.028,0.698,0.71,643,866,365,514,149
22024,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.828,82,0.07,1.35,0.7,0.155,0.05,0.149,0.037,0.69,0.7,625,844,364,520,156
22024,1610612763,MEM,Memphis Grizzlies,Cut,Offensive,0.345,82,0.068,1.272,0.639,0.124,0.05,0.123,0.042,0.632,0.639,661,841,367,574,207
22024,1610612762,UTA,Utah Jazz,Cut,Offensive,0.552,82,0.068,1.31,0.659,0.187,0.057,0.176,0.055,0.654,0.659,636,833,340,516,176
22024,1610612746,LAC,LA Clippers,Cut,Offensive,0.862,82,0.066,1.358,0.684,0.109,0.027,0.106,0.036,0.681,0.684,587,797,361,528,167
22024,1610612748,MIA,Miami Heat,Cut,Offensive,0.276,82,0.07,1.264,0.645,0.118,0.054,0.115,0.029,0.637,0.645,625,790,345,535,190
22024,1610612745,HOU,Houston Rockets,Cut,Offensive,0.207,82,0.065,1.252,0.639,0.127,0.042,0.125,0.029,0.638,0.639,622,779,342,535,193
